InitialToolPosX , InitialToolPosZ , InitialTargetPosX , InitialTargetPosZ , xSetVelcoity_tool , zSetVelocity_tool , xVelAtContact_Tool , zVelAtContact_Tool , xVelAtContact_Target , zVelAtContact_Target , targetFinalPosX , targetFinalPosZ , targetDisplacement_X , targetDisplacement_Z
10.00 , 40.00 , 0.00 , 0.00 , 0.00 , 20.00 , -0.00 , 5.99 , -0.00 , 7.13 , -5.00 , 45.64 , -0.00 , 3.14 
 10.00 , 40.20 , -5.00 , 43.20 , 0.00 , 20.00 , -0.00 , 10.26 , -0.00 , 11.97 , -5.00 , 52.11 , -0.00 , 8.92 
 10.00 , 40.20 , -5.00 , 43.20 , 0.00 , 20.00 , -0.00 , 10.20 , -0.00 , 13.13 , -5.00 , 53.84 , -0.00 , 10.65 
 10.00 , 40.20 , 6.81 , 67.80 , 0.00 , 20.00 , -0.00 , 16.87 , -0.00 , 24.33 , 6.81 , 102.47 , -0.00 , 34.67 
 10.00 , 40.17 , 6.91 , 68.20 , 0.00 , 20.00 , -0.00 , 16.79 , -0.00 , 27.58 , 6.91 , 112.03 , -0.00 , 43.83 
 10.00 , 40.01 , 6.93 , 68.20 , 0.00 , 20.00 , -0.00 , 16.77 , -0.00 , 25.59 , 6.93 , 106.74 , -0.00 , 38.55 
 9.99 , 40.20 , 6.94 , 43.20 , 0.00 , 20.00 , -0.00 , 10.20 , -0.00 , 10.54 , 6.94 , 49.86 , -0.00 , 6.66 
 10.00 , 40.20 , 6.94 , 43.20 , 0.00 , 20.00 , -0.00 , 10.26 , -0.00 , 12.14 , 6.94 , 52.36 , -0.00 , 9.17 
 10.00 , 40.20 , 6.95 , 43.20 , 0.00 , 20.00 , -0.00 , 10.26 , -0.00 , 12.01 , 6.95 , 52.17 , -0.00 , 8.98 
 10.00 , 40.20 , -17.80 , 43.17 , -20.00 , 0.00 , -16.88 , 0.00 , -23.82 , -0.00 , -50.81 , 43.17 , -33.01 , -0.00 
 9.89 , 40.16 , -18.20 , 43.09 , -20.00 , 0.00 , -17.05 , 0.00 , -21.26 , -0.00 , -45.43 , 43.09 , -27.24 , -0.00 
 9.92 , 40.13 , -18.20 , 43.07 , -20.00 , 0.00 , -16.96 , 0.00 , -20.46 , -0.00 , -43.07 , 43.07 , -24.87 , -0.00 
 9.91 , 40.11 , 6.80 , 54.83 , -20.00 , 0.00 , -9.70 , 0.00 , -9.92 , -0.00 , 0.69 , 54.84 , -6.12 , -0.00 
 9.80 , 40.01 , 6.80 , 54.90 , -20.00 , 0.00 , -10.29 , 0.00 , -10.28 , -0.00 , 0.07 , 54.90 , -6.74 , -0.00 
 9.80 , 40.00 , 6.80 , 54.92 , -20.00 , 0.00 , -10.29 , 0.00 , -10.24 , -0.00 , 0.12 , 54.92 , -6.69 , -0.00 
 9.80 , 40.00 , 6.82 , 43.20 , -20.00 , 0.00 , -10.16 , -0.00 , -14.26 , -1.84 , -14.78 , 42.79 , -21.60 , -0.41 
 9.80 , 40.00 , 6.80 , 42.92 , -20.00 , 0.00 , -8.45 , -0.00 , -7.17 , -2.12 , -18.84 , 43.65 , -25.65 , 0.73 
 9.80 , 40.00 , 6.80 , 43.11 , -20.00 , 0.00 , -8.46 , 0.01 , -7.25 , 1.27 , -11.47 , 44.45 , -18.28 , 1.35 
 9.80 , 40.00 , -14.80 , 43.17 , -30.00 , 20.00 , -16.42 , 10.12 , -3.58 , 15.00 , -18.41 , 70.78 , -3.60 , 27.62 
 9.82 , 40.20 , -15.15 , 43.20 , -30.00 , 20.00 , -16.46 , 10.25 , -0.70 , 11.60 , -15.37 , 54.29 , -0.22 , 11.09 
 9.82 , 40.20 , -15.11 , 43.20 , -30.00 , 20.00 , -13.65 , 8.49 , -0.00 , 7.88 , -15.78 , 54.75 , -0.67 , 11.55 
 9.80 , 40.18 , 6.80 , 65.83 , -30.00 , 20.00 , -13.24 , 8.71 , -17.03 , 3.70 , -30.99 , 68.00 , -37.79 , 2.17 
 9.80 , 40.18 , 6.80 , 66.13 , -30.00 , 20.00 , -13.19 , 8.69 , -14.70 , -2.80 , -49.60 , 60.85 , -56.40 , -5.28 
 9.80 , 40.18 , 6.80 , 65.86 , -30.00 , 20.00 , -13.29 , 8.71 , -13.19 , -2.51 , -98.83 , 59.85 , -105.63 , -6.01 
 9.80 , 40.18 , 6.80 , 43.15 , -30.00 , 20.00 , -13.24 , 8.57 , -14.96 , 6.39 , -87.57 , 103.39 , -94.37 , 60.24 
 9.80 , 40.17 , 6.80 , 43.19 , -30.00 , 20.00 , -13.11 , 8.33 , -26.65 , 9.78 , -83.46 , 99.75 , -90.27 , 56.57 
 9.80 , 40.18 , 6.80 , 43.18 , -30.00 , 20.00 , -13.22 , 8.49 , -13.35 , 15.56 , -95.55 , 198.58 , -102.36 , 155.40 
 
