InitialToolPosX , InitialToolPosZ , InitialTargetPosX , InitialTargetPosZ , xSetVelcoity_tool , zSetVelocity_tool , xVelAtContact_Tool , zVelAtContact_Tool , xVelAtContact_Target , zVelAtContact_Target , targetFinalPosX , targetFinalPosZ , targetDisplacement_X , targetDisplacement_Z
10.00 , 40.00 , 0.00 , 0.00 , 0.00 , 20.00 , 0.00 , 6.07 , -0.00 , 7.22 , -5.00 , 45.64 , -0.00 , 3.14 
 10.00 , 40.20 , 7.32 , 67.80 , 0.00 , 20.00 , -0.00 , 16.86 , -0.00 , 24.62 , 7.32 , 103.28 , -0.00 , 35.48 
 10.00 , 40.14 , 7.41 , 42.70 , 0.00 , 20.00 , -0.00 , 10.02 , -0.00 , 16.88 , 7.41 , 59.62 , -0.00 , 16.92 
 10.00 , 40.20 , -17.80 , 42.69 , -20.00 , 0.00 , -16.89 , 0.00 , -23.34 , -0.00 , -49.52 , 42.68 , -31.72 , -0.00 
 9.92 , 40.16 , 7.30 , 54.84 , -20.00 , 0.00 , -8.34 , 0.00 , -12.89 , -0.00 , -2.57 , 54.84 , -9.87 , -0.00 
 9.80 , 40.02 , 7.31 , 42.70 , -20.00 , 0.00 , -8.52 , -0.00 , -8.56 , -0.00 , 2.55 , 42.70 , -4.76 , 0.00 
 9.80 , 40.00 , -14.80 , 42.60 , -30.00 , 20.00 , -13.67 , 8.46 , -0.22 , 10.05 , -14.83 , 48.88 , -0.02 , 6.29 
 9.80 , 40.18 , 7.30 , 65.81 , -30.00 , 20.00 , -9.88 , 6.46 , -10.08 , 0.16 , 1.19 , 65.82 , -6.12 , 0.01 
 9.80 , 40.17 , 7.33 , 42.70 , -30.00 , 20.00 , -9.77 , 6.46 , -14.17 , 9.24 , -5.20 , 47.81 , -12.54 , 5.11 
 
